"island","scenario","year"
"hawaii","present","2008"
"hawaii","present","2009"
"hawaii","rcp85","2006"
"hawaii","rcp85","2007"
"hawaii","rcp85","2008"
"hawaii","rcp85","2009"
"oahu_kauai","present","1990"
"oahu_kauai","present","1991"
"oahu_kauai","present","1992"
"oahu_kauai","present","1993"
"oahu_kauai","present","1994"
"oahu_kauai","present","1995"
"oahu_kauai","present","1996"
"oahu_kauai","present","1997"
"oahu_kauai","present","1998"
"oahu_kauai","present","1999"
"oahu_kauai","present","2000"
"oahu_kauai","present","2001"
"oahu_kauai","present","2002"
"oahu_kauai","present","2003"
"oahu_kauai","present","2004"
"oahu_kauai","present","2005"
"oahu_kauai","present","2006"
"oahu_kauai","present","2007"
"oahu_kauai","present","2008"
"oahu_kauai","present","2009"
"oahu_kauai","rcp45","1990"
"oahu_kauai","rcp45","1991"
"oahu_kauai","rcp45","1992"
"oahu_kauai","rcp45","1993"
"oahu_kauai","rcp45","1994"
"oahu_kauai","rcp45","1995"
"oahu_kauai","rcp45","1996"
"oahu_kauai","rcp45","1997"
"oahu_kauai","rcp45","1998"
"oahu_kauai","rcp45","1999"
"oahu_kauai","rcp45","2000"
"oahu_kauai","rcp45","2001"
"oahu_kauai","rcp45","2002"
"oahu_kauai","rcp45","2003"
"oahu_kauai","rcp45","2004"
"oahu_kauai","rcp45","2005"
"oahu_kauai","rcp45","2006"
"oahu_kauai","rcp45","2007"
"oahu_kauai","rcp45","2008"
"oahu_kauai","rcp45","2009"
"oahu_kauai","rcp85","1990"
"oahu_kauai","rcp85","1991"
"oahu_kauai","rcp85","1992"
"oahu_kauai","rcp85","1993"
"oahu_kauai","rcp85","1994"
"oahu_kauai","rcp85","1995"
"oahu_kauai","rcp85","1996"
"oahu_kauai","rcp85","1997"
"oahu_kauai","rcp85","1998"
"oahu_kauai","rcp85","1999"
"oahu_kauai","rcp85","2000"
"oahu_kauai","rcp85","2001"
"oahu_kauai","rcp85","2002"
"oahu_kauai","rcp85","2003"
"oahu_kauai","rcp85","2004"
"oahu_kauai","rcp85","2005"
"oahu_kauai","rcp85","2006"
"oahu_kauai","rcp85","2007"
"oahu_kauai","rcp85","2008"
"oahu_kauai","rcp85","2009"
